1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
857.85,837,815.2,799.3,813.15,1601.45,1680.84,1772.48,882.24,905.74,936.54,937.84,874.34,868.74,857.99,880.94,881.49,1809.59,1941.45,2446.85,2323.75,889.4,850.95,864.6
864.95,857.13,819.76,810.39,812.16,1625.85,1637.44,1641.78,864.14,869.94,847.14,880.54,851.14,834.74,838.89,823.44,818.99,1629.69,1926.75,2467.35,2450.35,927.1,837.55,852.6
835.3,841.2,840,821.3,825.4,1638.9,1637.1,1722.4,857,884.8,861,843.5,881.4,896.5,901.3,862.4,893.9,1763.7,1726.5,2452.3,2265.3,904.1,884.4,881.6
829.2,282.7,756.8,669.9,824.5,1657.9,1705.9,1818.5,893.3,908.4,925,951.2,953.3,923.9,905.5,919.4,889.9,1820.1,1767,2379.2,2410.5,923.9,916.4,904
878.1,876.9,853.3,840.2,839.2,1707.5,1816.1,1859.2,931,972.7,998.2,961.4,946.4,928.2,950.6,941,901.8,1764.5,1773.6,2520.6,2382.4,963.7,846.1,866.3
859.1,851.5,868.7,875.6,892.6,1726.1,1827.7,1906.3,963.7,950.8,963,966.4,941.8,926.8,944.1,924.9,858.8,1714.1,2087.1,2401.1,2326.7,873.9,876.3,841.5
834.7,827,821.5,811,805.1,1609,1719.5,1770.4,890.5,915.7,948.3,942.2,834.2,920.8,961,920.8,865.4,1647.2,1859.7,2148.7,2020,810.4,848.9,847.5
233.8,626.1,753.6,783.3,798.9,1597.6,1685.6,1772.5,914.1,932.9,940.4,907.6,927.9,918.4,904.6,913.2,922.8,1731.8,1683.6,1848.8,1921.8,914.8,879.9,842.2
837.3,814.1,767.9,771.9,776.5,1552.4,1630.4,1725.1,877.1,867.9,883.6,886.2,884.2,872.2,873.5,856.1,860.1,1688.8,1818.1,2462,2335.1,887.4,874.3,854.1
856.9,857.2,807.6,774.2,796.5,1613.7,1726.1,1847.3,918.9,929.4,940.2,934.9,923.8,922.4,944,907.2,892,1823.9,1892.5,2509.4,2371.5,928.1,893.5,874.2
851.9,815.5,796.3,0,821.6,1631,1729,1849.9,892.5,902.1,912.9,906.5,911.6,934.9,922.4,934.3,943.7,1887.6,1754.3,2543.5,2503.4,954.5,928.7,784.4
835.8,865.4,847.6,812.9,820.2,1669.4,1753.5,1829.4,851.2,852,842,862.2,850.9,882.4,843.1,872.3,876.8,1809.7,2027.6,2455.6,2258,902.1,860.4,850.9
819,831.2,831,812.9,836,1711.5,1807.3,1882.6,913.9,913.3,901,904.4,874,858.4,891.4,907.2,922.1,1813.7,1795.7,2505.1,2209.4,919.2,915.5,890.9
861.5,850.4,850.3,855.1,844.2,1735.3,1804.6,1824.2,932.7,951.9,964.9,969.9,978.7,969.5,976.3,962.8,937,1859.3,2188,2573.6,2410.8,929.2,960.6,930
921.6,890.5,894.3,852.6,865.7,1748.8,1761.2,1867,940.3,913.8,907.9,910.3,911.3,900.2,936.4,955.2,899.2,1786.5,1771.7,2167.9,2100.5,894.4,793.3,908.9
829.5,820.8,755.5,769.9,768.9,1526.6,1523.1,1694,844.4,835.3,862.1,847.1,852.7,873.2,807.9,811.6,800.7,1657.8,1721.5,2579.7,2363.6,948.7,852,846.5
828.2,820,776.8,770.4,776.4,1584.4,1668.9,1741.9,818.5,818.3,753,802.8,666.5,745.3,750.2,711.8,863.5,1697.5,1700.1,2173.3,2423.2,1012.2,886.9,833.8
824.7,781.8,773.4,804.1,827.1,1676.9,1762.1,1903.4,929.9,953,931.1,958,967.6,970,944.1,949.7,948.3,1884.2,1865.2,2529.3,2337.9,917.2,901.5,874.6
846.1,806.1,805.1,798.5,813.9,1678.6,1745.9,1852.4,947.4,954.8,937.7,942.7,943.1,967.4,977.4,936.1,890.9,1854.1,2081,2447.7,2371,946.6,948.9,912.7
889.3,860.5,845.5,848,836.1,1651.8,1784.1,1887.9,952.5,966.6,959.7,907.5,938.7,973.3,972.5,916.1,905.6,1897.6,2057.2,2534.2,2270.2,889.6,864.6,856.6
817.5,806.6,768.8,731.5,756.3,1537.9,1578.3,1711.3,846.9,861.8,902.1,887.3,890.5,866.4,880.5,897,897,1779.7,1936.4,2311.1,2454.1,896.2,836.2,800.1
796.2,762.7,715.7,694.2,705.2,1488,1606.3,1726.9,862.3,853.7,912.9,895.6,838.2,839.6,858.6,904.8,905.9,1786.8,2081.9,2577.4,2437.2,1147.8,881.1,882.8
840.1,835.1,829.5,824.6,810.8,1588,1608.7,1835.6,881.2,948.9,891.4,878.1,893.9,881,874.6,875.9,876.5,1793.8,1824.1,2478.5,2358.4,878.7,911.8,882.8
871.6,852.6,848.7,852.7,858.1,1685.3,1792.1,1857.5,996.7,995.5,986.1,996.4,977.2,978.9,992.2,988.3,1012,1937.6,1943.2,2656.6,2273.5,984.7,967.5,899.9
917.2,901,880.4,881.1,865.4,1722.4,1803.4,1840.9,947.4,887.9,891.8,163.2,894.5,940.4,907.7,946.6,901.7,1792.3,1977.3,2563.8,2399.1,985,897.8,898.4
867.9,828.7,816.8,801.8,878.2,1642.6,1689,1823.8,918.6,940,931.2,934.4,942.6,897.8,932.4,937.2,937.4,1837.2,1979,2219.3,2484.7,1033.4,929,912.8
903.1,888.8,858.2,870.2,879.1,1717.8,1817.2,1959.4,913.6,949.1,932.7,941.7,951.8,947.5,835.7,836.5,953.3,1865.9,1882.7,2237.4,2357.9,926,908.8,909.1
874.4,818.6,813.2,809,823.9,1635.7,1728.6,1706.2,885.2,879.4,881.4,852.8,836.3,855.2,892.7,895.8,921.6,1829.7,1871.2,2489.5,2156.4,895.1,882.5,844.5
798,780.7,781.7,665.7,771.3,1565.6,1622.2,1672.2,869.5,838.7,899.9,882.8,885.4,903.1,897.5,871.3,908.4,1772.7,2000.3,2344.1,1030,163.6,812.7,771.5
837.9,776.4,752.8,745.3,157,318.1,1659.8,1736.7,891.4,900.9,900.4,881.5,904,879.2,906.6,916,902.2,1881.9,2019.1,2441.5,1815.3,774.2,761.3,709.5
684.4,628.2,634.8,627.2,654.4,1320.5,1526.1,1646.3,809,823.2,806.9,810.2,742.3,823,808.9,819.8,827.5,1658.8,1867.1,2189.5,1911.9,893.6,864.2,866.8
757.1,757.1,741,717.1,724.7,1507.9,1611.8,1677.9,855.1,858.6,858.2,839.6,860.9,883.4,883.4,846.7,848.2,1714.7,1897,2031,1672.5,700.3,679.6,639
664.5,652.6,626.1,612.3,604,1277.4,1407.3,1505,733.9,769,891.1,870.2,899.3,993.4,1024.8,983.7,1005.6,1919.8,1994.1,2140.6,1881.3,838.5,806.7,776.3
850.4,812.2,825.9,828.9,826.5,1641,1827,1819.2,922.6,916.8,906,939.3,939.9,933.4,945.6,949.6,939.7,1932.1,2272.1,2617.5,2154.1,935.6,917.1,825.2
835.3,841.2,840,821.3,825.4,1638.9,1637.1,1722.4,857,884.8,861,843.5,881.4,896.5,901.3,862.4,893.9,1763.7,1726.5,2452.3,2265.3,904.1,884.4,881.6
829.2,282.7,756.8,669.9,824.5,1657.9,1705.9,1818.5,893.3,908.4,925,951.2,953.3,923.9,905.5,919.4,889.9,1820.1,1767,2379.2,2410.5,923.9,916.4,904
824.6,845.4,821.8,808.7,807.7,1644.5,1753.2,1796.4,899.8,923,921.1,893.2,894.6,885,918.4,908.9,869.6,1700.1,1709.2,2456.2,2318,931.5,813.2,833.4
804.2,796.6,813.8,820.7,837.7,1636.3,1773,1856.7,904.1,885.2,916.4,910.5,867.2,870.6,890.1,871,804.8,1606.1,2034.1,2345.1,2212.7,841.2,832.6,830.2
857.7,838.7,837.7,840.2,853.8,1752.7,1788.4,1846,924.5,915.4,944.4,940.7,930.2,921.2,923.6,933.3,930.1,1806.7,1853.4,2564.5,2182,909.1,925.7,901.1
872.9,852.5,841.8,858,866.2,1753.8,1807.8,1835.3,920.4,928.3,941.4,903.6,928,916.2,927.8,909.1,885.8,1760.8,2377.7,2534.4,2388.3,921.2,900.4,876.8
843.9,832.2,831.9,847.2,831.1,1673.7,1738.4,1776.2,905.7,893.9,888.8,877.1,884.2,942.4,955.5,953.4,879.8,1767,2318.1,2532.5,2397.8,966.2,922,899.6
